Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Status,Number of Articles,Categories,Number of Founders,Number of Employees,Last Funding Date,Last Funding Amount,Total Funding Amount,Number of Investors,Last Funding Type,Website,Number of Funding Rounds
Rudder,https://www.crunchbase.com/organization/rudder,Financial Services,"Houston, Texas, United States",Rudder is a financial management tool that enables users to separate and classify income and expenses.,"43,046",10/01/2006,Closed,2,Finance,1,51-100,01/15/2008,"$2,000,000","$2,000,000",1,Series A,http://www.rudder.com,1
Rebel Monkey,https://www.crunchbase.com/organization/rebelmonkey,Gaming,"New York, New York, United States",Rebel Monkey is a game and entertainment company developing real-time and multiplayer social games.,"43,093",01/01/2007,Closed,2,"Online Games, Gaming, Video Games",,11-50,02/05/2008,"$1,000,000","$1,000,000",1,Series A,http://rebelmonkey.com,1
Wi-Chi,https://www.crunchbase.com/organization/wi-chi,"Natural Resources, Science and Engineering, Energy, Sustainability","Tualatin, Oregon, United States",Wi-Chi develops and manufacturers effective nano inverters for solar photovoltaic systems.,"43,447",01/01/2008,Closed,,"Solar, Nanotechnology",,1-10,05/15/2008,"$7,000,000","$7,000,000",2,Series A,http://www.wi-chi.com,1
Edgeio,https://www.crunchbase.com/organization/edgeio,"Commerce and Shopping, Software, Internet Services","Palo Alto, California, United States",Edgeio offers a website that organizes and distributes classifieds and listings of various types.,"43,678",01/01/2005,Closed,70,"Internet, E-Commerce, Web Browsers",3,,07/01/2007,"$5,000,000","$6,500,000",8,Series A,http://www.edgeio.com,2
RewardMyWay,https://www.crunchbase.com/organization/rewardmyway,"Commerce and Shopping, Software, Payments, Financial Services, Mobile","Chicago, Illinois, United States","RewardMyWay is a technology company that creates mobile applications, allowing users to find, pay, and earn CashBack at local merchants.","43,708",12/01/2013,Closed,,"Mobile Payments, E-Commerce, Mobile",1,11-50,01/01/2014,"$2,000,000","$2,000,000",,Series A,http://www.rewardmyway.com,1
Grocio,https://www.crunchbase.com/organization/grocio,Commerce and Shopping,"Tulsa, Oklahoma, United States",Grocio is a comparison shopping engine for groceries with several product lines.,"43,925",06/01/2007,Closed,1,"Coupons, Price Comparison",1,1-10,07/20/2010,"$1,245,000","$1,375,000",2,Series A,http://www.grocio.com,3
Social Genius,https://www.crunchbase.com/organization/social-genius,Sales and Marketing,"Mountain View, California, United States",Social Genius is a data analytics software company helping brands better spend their marketing dollars.,"44,032",02/05/2010,Closed,1,"Digital Marketing, Social, Marketing",2,1-10,10/11/2011,"$1,320,384","$1,320,384",1,Series A,http://www.audiovroom.com,1
GarageBand,https://www.crunchbase.com/organization/garageband,"Hardware, Media and Entertainment, Information Technology, Music and Audio, Software","San Francisco, California, United States","GarageB Internet music company whose goal is to identify and sign the most talented new bands, based on the collective opinion of consumers.","44,532",,Closed,33,"Virtualization, Musical Instruments, Music",,,07/26/2006,"$2,500,000","$17,500,000",5,Series A,http://www.garageband.com,2
Passbox,https://www.crunchbase.com/organization/passbox,"Media and Entertainment, Sales and Marketing, Internet Services, Mobile","Walnut Creek, California, United States","Passbox offers rewards systems that enables high traffic retailers to increase brand loyalty across mobile, social and in-store platforms.","44,760",01/01/2011,Closed,,"Loyalty Programs, Social Media, Mobile",,1-10,01/01/2012,"$5,000,000","$5,000,000",,Series A,http://www.passbox.com,1
D2C Games,https://www.crunchbase.com/organization/d2c-games,"Gaming, Media and Entertainment","San Mateo, California, United States",D2C Games is a digital download publisher of interactive entertainment for console and handheld game platforms.,"44,814",01/01/2006,Closed,5,"Digital Entertainment, Gaming, Online Games",,1-10,08/29/2007,"$6,000,000","$7,500,000",1,Series A,http://www.d2cgames.com,2
Carbonetworks,https://www.crunchbase.com/organization/carbonetworks,"Sustainability, Financial Services, Lending and Investments","San Francisco, California, United States",Carbonetworks helps organizations manage their carbon inventories and create effective greenhouse gas emissions strategies.,"44,968",01/01/2005,Closed,39,"Impact Investing, GreenTech, CleanTech",,11-50,07/01/2008,"$5,000,000","$5,000,000",1,Series A,http://www.carbonetworks.com,1
Kadoink,https://www.crunchbase.com/organization/kadoink,"Media and Entertainment, Music and Audio, Software, Internet Services, Messaging and Telecommunications, Mobile","San Francisco, California, United States","Kadoink provides short messaging service, instant messaging and single-hosted voice system integration services.","44,983",08/01/2006,Closed,10,"Developer Tools, Mobile, Music, SMS, Audio",1,11-50,01/01/2008,"$7,000,000","$9,500,000",2,Series A,http://www.kadoink.com,2
Appscio,https://www.crunchbase.com/organization/appscio,"Apps, Information Technology, Software","Freedom, California, United States","Appscio develops applications of media mining algorithms to government, enterprise, and web media management problems.","45,102",03/01/2006,Closed,,"Information Technology, Apps, Software, Open Source",,1-10,01/03/2009,"$2,000,000","$12,000,000",2,Series A,http://www.appscio.com,3
TransCorp,https://www.crunchbase.com/organization/transcorp,"Biotechnology, Science and Engineering, Information Technology, Health Care, Privacy and Security","Grand Rapids, Michigan, United States",TransCorp is a medical device company developing and commercializing surgical instruments and implants.,"45,300",01/01/2008,Closed,3,"Medical Device, Intrusion Detection, Biotechnology",3,1-10,05/12/2011,"$755,000","$755,000",2,Series A,http://transcorpspine.com/,1
Gamma Medica-Ideas,https://www.crunchbase.com/organization/gamma-medica-ideas,Health Care,"Northridge, California, United States",Gamma Medica-Ideas develops novel technologies for markets that improve patient health through the early diagnosis of diseases.,"45,516",01/01/2000,Closed,,"Health Diagnostics, Health Care, Medical Device",,1-10,10/30/2009,"$14,000,000","$14,000,000",2,Series A,http://www.gm-ideas.com,1
Ayalogic,https://www.crunchbase.com/organization/ayalogic,"Media and Entertainment, Information Technology, Music and Audio, Internet Services, Messaging and Telecommunications","Akron, Ohio, United States","Ayalogic offers imVOX, a social voice communications platform for gamers.","45,847",01/01/2002,Closed,,"Messaging, VoIP, Audio",,1-10,11/15/2010,"$128,000","$1,071,500",1,Series A,http://imvox.com,4
Entitle,https://www.crunchbase.com/organization/entitle,"Media and Entertainment, Internet Services, Content and Publishing","Wilmington, North Carolina, United States",Entitle offers a money-saving e-book subscription service.,"45,882",01/01/2011,Closed,,"Internet, Subscription Service, EBooks",,,12/16/2013,"$5,300,000","$5,300,000",,Series A,http://entitlebooks.com,1
American Hometec,https://www.crunchbase.com/organization/american-hometec,"Manufacturing, Hardware, Consumer Electronics, Sales and Marketing","Wilmington, Delaware, United States","American Hometec designs, manufactures, and sells electric tankless hot water heaters based on a novel heating technology.","45,950",01/01/2006,Closed,,"Manufacturing, Electronics, Sales",,11-50,09/24/2008,"$250,000","$250,000",1,Series A,http://www.americanhometec.com,1
Myxer,https://www.crunchbase.com/organization/myxer,"Media and Entertainment, Music and Audio, Video, Content and Publishing, Mobile","Austin, Texas, United States","Myxer is a streaming internet radio company based in Austin, Texas.","45,963",05/01/2005,Closed,31,"Music, Mobile, Video Streaming",1,11-50,09/25/2007,"$6,500,000","$6,500,000",3,Series A,http://www.myxer.com,1
LookStat,https://www.crunchbase.com/organization/lookstat,"Commerce and Shopping, Media and Entertainment, Content and Publishing, Financial Services","Seattle, Washington, United States",Founder & CEO of LookStat. We help photographers and agencies make more money.,"46,279",01/01/2008,Closed,3,"Photography, Finance, E-Commerce",,1-10,04/23/2009,"$500,000","$500,000",2,Series A,http://www.lookstat.com,1
