Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Status,Number of Articles,Categories,Number of Founders,Number of Employees,Last Funding Date,Last Funding Amount,Total Funding Amount,Number of Investors,Last Funding Type,Website,Number of Funding Rounds
ArsDigita,https://www.crunchbase.com/organization/arsdigita,Commerce and Shopping,"Washington, District of Columbia, United States","An open-source enterprise software firm building Web-based solutions for corporate, commercial and educational communities",,01/01/1997,Closed,5,"Project Management, Knowledge Management, E-Commerce",,,03/30/2000,"$35,000,000","$35,000,000",3,Series A,http://arsdigita.com/,1
Parallocity,https://www.crunchbase.com/organization/parallocity,Data and Analytics,"Sunnyvale, California, United States",Automated Runtime Analysis Tools,,01/01/2007,Closed,1,Analytics,4,11-50,01/04/2012,,,3,Series A,http://parallocity.com,3
SnapLayout,https://www.crunchbase.com/organization/snaplayout,"Media and Entertainment, Information Technology, Internet Services, Privacy and Security","San Francisco, California, United States","SnapLayout is a MySpace profile editor from the Y Combinator company, Weebly.",,01/01/2006,Closed,2,"Social Media, Identity Management",3,1-10,05/01/2007,"$650,000","$650,000",1,Series A,http://bestfacebookstatus.net,1
Zipidee,https://www.crunchbase.com/organization/zipidee,Commerce and Shopping,"San Francisco, California, United States",Zipidee is an online marketplace enabling manufacturers to market and sell digital products.,,02/01/2007,Closed,9,E-Commerce,1,,10/14/2007,,,3,Series A,http://zipidee.com,1
LinQpay,https://www.crunchbase.com/organization/linqpay,"Software, Payments, Financial Services, Mobile","Carlsbad, California, United States","LinQpay provides mobile phone and global payment services in North America, Asia, Europe and Africa.",,01/01/2007,Closed,,"Payments, Mobile Payments, Transaction Processing, Mobile, Finance",,11-50,01/01/2007,,,,Series A,http://www.linqpay.com,1
WeShow,https://www.crunchbase.com/organization/weshow,"Commerce and Shopping, Media and Entertainment, Community and Lifestyle, Internet Services, Video","New York, New York, United States",WeShow is an online video aggregator that provides targeted video content to global viewers.,,06/01/2007,Closed,3,"Online Forums, Online Auctions, Video",,,06/01/2007,"$5,000,000","$5,000,000",2,Series A,http://www.weshow.com,1
Tivix,https://www.crunchbase.com/organization/tivix-2,"Commerce and Shopping, Media and Entertainment, Internet Services, Video","Beverly Hills, California, United States",Tivix is the creator of an online marketplace for film and television program sales and distribution.,,01/01/1999,Closed,,"TV, Marketplace, Internet",3,1-10,06/09/2000,"$4,800,000","$4,800,000",4,Series A,https://web.archive.org/web/20010201151000/http://tivix.com:80/,1
Yoomba,https://www.crunchbase.com/organization/yoomba,"Information Technology, Internet Services, Messaging and Telecommunications","San Francisco, California, United States",Yoomba is a service that enables anyone with an e-mail address to send and receive IM and VoIP calls without creating new user accounts.,,01/01/2006,Closed,1,Messaging,2,,07/01/2007,,,2,Series A,http://www.yoomba.com,1
Verus Pharmaceuticals,https://www.crunchbase.com/organization/verus-pharmaceuticals,Health Care,"San Diego, California, United States","Verus Pharmaceuticals offers treatment of asthma, allergies, and related diseases and conditions.",,01/01/2002,Closed,1,"Pharmaceutical, Medical, Health Care",,,06/09/2005,"$78,000,000","$78,000,000",8,Series A,http://www.versuspharm.com,1
T-Shirts.com,https://www.crunchbase.com/organization/t-shirts-com,"Commerce and Shopping, Internet Services","Lake Forest, Illinois, United States","T-Shirts.com, a provider of printed, custom and blank T-shirts.",,01/01/1999,Closed,,"Customer Service, Retail, Internet",1,11-50,06/23/2000,"$7,000,000","$7,000,000",1,Series A,http://www.t-shirts.com,1
Make It Work,https://www.crunchbase.com/organization/make-it-work,"Hardware, Software","Santa Barbara, California, United States","Make It Work provides computer repair, storage, and computer networking services in California, USA.",,02/01/2001,Closed,,"Hardware, Software",1,51-100,11/15/2005,"$1,000,000","$1,000,000",2,Series A,http://www.makeitwork.com,1
AudioFeast,https://www.crunchbase.com/organization/audiofeast,Media and Entertainment,"Mountain View, California, United States",AudioFeast provides a Web based broadcast network of digital audio programming for MP3 players.,,01/01/2002,Closed,5,Media and Entertainment,1,,12/13/2004,"$10,000,000","$10,000,000",2,Series A,http://www.theaudiofeast.com,1
Foonz,https://www.crunchbase.com/organization/foonz,"Media and Entertainment, Information Technology, Events, Internet Services, Messaging and Telecommunications, Mobile","San Francisco, California, United States",Group VoIP Calling,,01/01/2006,Closed,1,"Events, Mobile, VoIP",,51-100,01/24/2007,"$1,080,000","$1,080,000",1,Series A,http://www.foonz.com,1
Comstellar Technologies,https://www.crunchbase.com/organization/comstellar-technologies,"Hardware, Software","Los Altos, California, United States","At Comstellar Technologies, Inc., we're building a major technology company with a singular focus on communications infrastructure",,01/01/2000,Closed,2,"Network Hardware, Communications Infrastructure, Software",1,1-10,07/12/2000,"$135,000,000","$135,000,000",10,Series A,http://comstellar.com,1
YouBeQB,https://www.crunchbase.com/organization/youbeqb,"Gaming, Sports","Bellevue, Washington, United States",YouBeQB is a unique startup that allows fantasy sports fans to get even more involved with both NFL and college football games.,,10/01/2006,Closed,2,"Fantasy Sports, Sports",1,1-10,05/01/2007,,,1,Series A,http://youbeqb.com,1
Editorially,https://www.crunchbase.com/organization/editorially,"Media and Entertainment, Internet Services, Content and Publishing","Brooklyn, New York, United States",Editorially offers an online platform that enables individuals to collaborate on writing and editing activities.,,01/01/2012,Closed,,"Web Hosting, Publishing, Content",1,1-10,01/01/2012,,,6,Series A,http://editorially.com,1
Striped Sail,https://www.crunchbase.com/organization/striped-sail,"Hardware, Software","Champaign, Illinois, United States","Striped Sail is a company creating sophisticated, modernized and environmental-friendly accessories for Apple iPhones.",,02/01/2010,Closed,,"Software, Hardware",2,1-10,07/13/2011,,,1,Series A,http://stripedsail.com,1
TrueSpan,https://www.crunchbase.com/organization/truespan,Mobile,"Long Beach, California, United States",TrueSpan develops and offers digital video broadcast receiver solutions for cell phones and other mobile CE devices.,,01/01/2004,Closed,1,Mobile,,1-10,05/15/2005,,,,Series A,http://www.truespaninc.com,1
National Banana,https://www.crunchbase.com/organization/nationalbanana,"Information Technology, Internet Services, Messaging and Telecommunications","Santa Monica, California, United States",National Banana is a comedy-video site bringing a new comedy community to the internet.,,01/01/2007,Closed,9,Messaging,,,06/01/2007,,,2,Series A,http://nationalbanana.com,1
WhenU.com,https://www.crunchbase.com/organization/whenu-com,Software,"New York, New York, United States",WhenU.com offers software applications that gather information about users' private browsing habits.,,01/01/1999,Closed,4,Software,,1-10,07/06/2005,"$15,000,000","$35,000,000",2,Series A,http://www.whenu.com/support,2
VisitorsCafe,https://www.crunchbase.com/organization/visitorscafe,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications","Boston, Massachusetts, United States",VisitorsCafe is a feature that socializes the web's content.,,04/01/2010,Closed,1,"Video Chat, SaaS, Messaging, Hardware",1,1-10,01/01/2011,,,,Series A,http://www.visitorscafe.com,1
Myndnet,https://www.crunchbase.com/organization/myndnet,"Commerce and Shopping, Information Technology, Data and Analytics, Design","Palo Alto, California, United States",Myndnet is an information marketplace -- a marketplace that allows anyone with knowledge to share it and get paid for it.,,07/01/2006,Closed,,"Information Services, Market Research, Marketplace",1,,06/27/2007,,,1,Series A,http://www.myndnet.com,1
SnapJot,https://www.crunchbase.com/organization/snapjot,"Media and Entertainment, Data and Analytics, Software, Internet Services, Content and Publishing","Woodside, New York, United States","SnapJot is the newest and easiest way on the Web to organize your memories, best photos and relevant files.",,01/01/2004,Closed,,"Web Browsers, Image Recognition, Photography",1,1-10,06/25/2004,,,1,Series A,http://www.snapjot.com,1
Patkai Networks,https://www.crunchbase.com/organization/patkai-networks,"Software, Design","United States, North America",Patkai is solving a real business problem for a potentially very large market.,,01/01/2000,Closed,,"Web Design, Software",2,1-10,08/10/2000,,,7,Series A,http://www.patkai.com/,1
Before the Call,https://www.crunchbase.com/organization/before-the-call,"Information Technology, Data and Analytics, Software, Sales and Marketing","Pleasanton, California, United States",Before the Call offers an on-demand prospect development management solution with sales activity analytics and revenue predictions.,,01/01/2005,Closed,,"Software, Analytics, CRM",,,04/10/2006,"$2,540,000","$2,540,000",3,Series A,http://www.beforethecall.com,1
PhotoTLC,https://www.crunchbase.com/organization/phototlc,"Media and Entertainment, Content and Publishing","Petaluma, California, United States",PhotoTLC,,01/01/2002,Closed,,Photo Editing,,,06/12/2006,"$5,070,000","$9,700,000",2,Series A,http://www.phototlc.com/,3
PickPackGo Vacation Rentals,https://www.crunchbase.com/organization/pickpackgovacationrentals,"Travel and Tourism, Real Estate, Internet Services","San Francisco, California, United States","PickPackGo Vacation Rentals is an online search site enabling travelers to find, compare and rent vacation homes.",,01/01/2001,Closed,,"Vacation Rental, Search Engine, Travel Accommodations",,,01/26/2007,,,1,Series A,http://www.pickpackgo.com,1
Browster,https://www.crunchbase.com/organization/browster,Software,"San Francisco, California, United States",Browster offers a search enhancement tool that pre-fetches content from links and makes the content available by mousing over the link.,,01/01/2004,Closed,7,Software,,,01/03/2006,"$5,800,000","$5,800,000",3,Series A,,1
Hygeia Personal Care Products,https://www.crunchbase.com/organization/hygeia-personal-care-products,Community and Lifestyle,"San Francisco, California, United States",Hygeia provides mothers with information and advisory services that assist them to understand their teenage daughters.,,07/01/2004,Closed,,Parenting,1,1-10,01/01/2008,,,,Series A,http://www.hygeiapcp.com,1
US Primate Rescue Inc.,https://www.crunchbase.com/organization/us-primate-rescue-inc,"Agriculture and Farming, Privacy and Security","Syracuse, Indiana, United States",US Primate Rescue operates databases of exotic animal referrals nationwide.,,05/01/2009,Closed,,"Security, Animal Feed",1,1-10,01/01/2008,"$50,000","$50,000",,Series A,http://USPrimaterescue.webs.com,1
Magic Bean Stalk,https://www.crunchbase.com/organization/magic-bean-stalk,"Software, Payments, Internet Services, Financial Services","Cupertino, California, United States",MagicBeanStalk.com is an online business-to-business vertical exchange that matches Internet startup companies.,,01/01/2000,Closed,,"Internet, Transaction Processing, B2B",1,,07/26/2000,"$4,500,000","$4,500,000",4,Series A,http://www.magicbeanstalk.com/,1
SandLinks,https://www.crunchbase.com/organization/sandlinks,Sales and Marketing,"Dallas, Texas, United States",SandLinks develops radio-frequency identification network technologies.,,01/01/2006,Closed,,Public Relations,1,1-10,01/16/2006,"$5,000,000","$5,000,000",3,Series A,http://www.sandlinks.com,1
TimeData Corporation,https://www.crunchbase.com/organization/timedata-corporation,"Information Technology, Software, Internet Services, Messaging and Telecommunications","New York, New York, United States","TimeData offers service providers with a managed solution, TimeData's SONAR.",,01/01/2003,Closed,,"VoIP, Software",,1-10,05/01/2009,,,2,Series A,http://timedatacorp.com,1
eMadison,https://www.crunchbase.com/organization/emadison,"Commerce and Shopping, Internet Services","Fremont, California, United States",eMadison is an e-commerce platform that enables businesses to buy and sell media advertising.,,08/01/1999,Closed,,"E-Commerce, Internet, B2B",,11-50,06/13/2000,"$12,900,000","$12,900,000",4,Series A,http://www.emadison.com,1
Amulet Pharmaceuticals,https://www.crunchbase.com/organization/amulet-pharmaceuticals,"Biotechnology, Science and Engineering, Health Care","Rockville, Maryland, United States",Amulet Pharmaceuticals discovers and develops novel therapeutics to address known liabilities of current therapies serving unmet markets.,,01/01/2006,Closed,,"Therapeutics, Health Care, Biotechnology",,11-50,03/05/2007,"$1,700,000","$1,700,000",2,Series A,http://www.amuletpharma.com,1
MetaRam,https://www.crunchbase.com/organization/metaram,"Manufacturing, Science and Engineering, Hardware, Design","San Jose, California, United States","MetaRAM engages in designing, developing, and manufacturing technologies to improve memory performance.",,01/01/2005,Closed,,"Product Design, Semiconductor, Manufacturing",1,11-50,07/08/2006,"$8,000,000","$8,000,000",,Series A,http://www.metaram.com/,1
InfoMove,https://www.crunchbase.com/organization/infomove,"Software, Transportation, Internet Services","Kirkland, Washington, United States",Integrating the advantages of the Internet with the car,,01/01/1998,Closed,,"Software, Internet, Automotive",1,,04/12/2000,"$5,500,000","$5,500,000",5,Series A,http://www.infomove.com,1
HotSocket Inc.,https://www.crunchbase.com/organization/hotsocket-inc,"Sales and Marketing, Internet Services","New York, New York, United States",HotSocket is the first company to meld the dynamic capabilities of the web with the proven techniques of direct marketing.,,01/01/1999,Closed,,"Marketing, Web Hosting, Internet",1,,05/25/2000,"$20,000,000","$20,000,000",4,Series A,http://www.hotsocket.com/,1
PrimeStreet,https://www.crunchbase.com/organization/primestreet,Financial Services,"Boston, Massachusetts, United States",PrimeStreet powers real-time multi-lender small business finance centers for financial institutions and vertical marketplaces.,,01/01/1999,Closed,1,"Finance, Lending, Small and Medium Businesses, Real Time",,,03/08/2000,"$38,000,000","$38,000,000",4,Series A,,1
Infinilink,https://www.crunchbase.com/organization/infinilink,"Media and Entertainment, Information Technology, Data and Analytics, Design","Irvine, California, United States",Infinilink s an early-stage technology company specializing in OEM products for delivering high speed digital communications.,,01/01/1998,Closed,,"Information Technology, Product Research, Digital Entertainment",,51-100,07/19/2000,"$1,600,000","$1,600,000",3,Series A,http://www.infinilink.com/,1
goRefer.com,https://www.crunchbase.com/organization/gorefer-com,"Community and Lifestyle, Internet Services","New York, New York, United States",goRefer offers a web technology solution that supports the internet consumer intelligence industry.,,01/01/1999,Closed,,"Internet, Communities, Consumer",,,05/16/2000,"$1,500,000","$11,500,000",4,Series A,http://www.goRefer.com,2
Djangos.com,https://www.crunchbase.com/organization/djangos-com,"Commerce and Shopping, Media and Entertainment, Music and Audio","Portland, Oregon, United States","jangos operates Second Hand Tunes, a chain of Chicago-based music stores.",,01/01/1998,Closed,,"Audio, Marketplace, Music",,,08/02/2000,"$9,050,000","$14,050,000",3,Series A,http://www.djangos.com,2
MobileEngines,https://www.crunchbase.com/organization/mobileengines,"Media and Entertainment, Internet Services, Mobile","San Jose, California, United States",MobileEngines is the leading provider of mobile entertainment services that help drive adoption of the new mobile world.,,01/01/1999,Closed,,"Digital Entertainment, Internet, Mobile",,,02/25/2000,"$1,500,000","$1,500,000",4,Series A,http://www.mobileengines.com/,1
NeuroBionics,https://www.crunchbase.com/organization/neurobionics,"Biotechnology, Science and Engineering, Health Care","Seattle, Washington, United States",NeuroBionics is a biotech company focused on neurological disorders.,,,Closed,,"Clinical Trials, Medical Device, Biotechnology",,,12/22/2004,"$6,000,000","$6,000,000",4,Series A,,1
Cerona Networks Corporation,https://www.crunchbase.com/organization/cerona-networks,"Hardware, Sales and Marketing","Frederick, Maryland, United States",Cerona Networks provides spectrally efficient satellite network solutions.,,01/01/1995,Closed,,"Public Relations, Satellite Communication",1,1-10,04/21/2006,"$2,600,000","$7,600,000",5,Series A,http://www.cerona.com,2
HeadCase Humanufacturing,https://www.crunchbase.com/organization/headcase-humanufacturing,Software,"Los Angeles, California, United States",HeadCase Humanufacturing is a software company developing digital interactive virtual characters.,,01/01/2006,Closed,,Software,,11-50,08/28/2006,"$900,000","$900,000",1,Series A,http://www.headcaselabs.com,1
Wirama,https://www.crunchbase.com/organization/wirama,"Hardware, Software","Sunnyvale, California, United States","Wirama’s products allow customers to deploy more economical and efficient use of RFID systems in warehouses, stores, and loading docks.",,01/01/2006,Closed,,"Hardware, Software",,1-10,02/28/2007,"$1,000,000","$1,000,000",1,Series A,http://www.wirama.com,1
Touchpak,https://www.crunchbase.com/organization/touchpak,"Hardware, Mobile","New York, New York, United States","Touchpak provides broadband wireless Internet solutions to enterprises, content providers and captive consumers.",,,Closed,,Wireless,1,,09/28/2000,"$1,600,000","$1,600,000",1,Series A,,1
T2 Media,https://www.crunchbase.com/organization/t2-media,"Software, Internet Services, Financial Services","Palo Alto, California, United States",Idealab for niche sites that make money.,,01/01/2004,Closed,,"Web Hosting, Financial Services, Web Development",,1-10,10/07/2013,,,1,Series A,http://www.t2media.com/,1
Moondo,https://www.crunchbase.com/organization/moondo,"Gaming, Media and Entertainment, Internet Services","New York, New York, United States",Moondo is a gaming platform that allows users to earn and use items globally.,,01/01/1999,Closed,1,"Digital Entertainment, Internet, Gaming",,1-10,01/01/2007,"$6,000,000","$6,000,000",2,Series A,http://www.moondo.com,1
FlatBurger,https://www.crunchbase.com/organization/flatburger,Software,"Lyndonville, New York, United States","FlatBurger, a software company, provides business infrastructure for supporting software developers working in hybrid software environments.",,01/01/2005,Closed,,Software,,1-10,05/23/2007,"$5,000,000","$6,750,000",3,Series A,http://www.flatburger.com,2
PrimeShot.com,https://www.crunchbase.com/organization/primeshot-com,"Media and Entertainment, Software, Internet Services, Content and Publishing","Washington, District of Columbia, United States",PrimeShot.com is the first global Web-based service that enables anyone to book professional photographers online.,,01/01/1999,Closed,,"Internet, Web Development, Photography",,,04/28/2000,"$7,150,000","$7,150,000",2,Series A,http://www.primeshot.com/,1
PaperFly,https://www.crunchbase.com/organization/paperfly,"Internet Services, Financial Services","Sunnyvale, California, United States",PaperFly is a pureplay ASP that is revolutionizing the way information assets are managed.,,,Closed,,"Asset Management, Internet",,,04/25/2000,"$2,000,000","$2,000,000",2,Series A,,1
Solace Pharmaceuticals,https://www.crunchbase.com/organization/solace-pharmaceuticals,Health Care,"Cambridge, Massachusetts, United States","Solace Pharmaceuticals, a Boston based drug company focused on therapeutics for chronic pain.",,01/01/2006,Closed,,"Health Care, Medical, Therapeutics",,1-10,05/01/2007,"$15,000,000","$15,000,000",3,Series A,http://www.solacepharma.com/,1
Synergia Pharma,https://www.crunchbase.com/organization/synergia-pharma,"Biotechnology, Science and Engineering, Health Care","San Francisco, California, United States",Synergia Pharma Inc. operates as a biopharmaceutical company.,,01/01/2002,Closed,,"Medical, Biopharma, Pharmaceutical",,,02/11/2003,"$2,000,000","$2,000,000",1,Series A,http://www.synergiapharma.com/,1
Plethora Technology,https://www.crunchbase.com/organization/plethora-technology,Software,"Kearneysville, West Virginia, United States","Plethora Technology, a software development company, provides secure connectivity to enterprise information resources.",,01/01/2000,Closed,,Software,,1-10,06/09/2005,"$1,000,000","$1,000,000",3,Series A,http://www.enterpriseinaflash.com,1
Agoura Technologies,https://www.crunchbase.com/organization/agoura-technologies,Science and Engineering,"Roseville, California, United States",Agoura Technologies is a nanotechnology company developing optical films.,,01/01/2003,Closed,,Nanotechnology,,1-10,09/13/2005,"$1,000,000","$1,000,000",1,Series A,http://www.agouratech.com,1
IC Mechanics,https://www.crunchbase.com/organization/ic-mechanics,"Manufacturing, Science and Engineering, Hardware, Consumer Electronics","Pittsburgh, Pennsylvania, United States",IC Mechanics is a manufacturer of very-low-cost high-performance smart MEMS.,,01/01/2000,Closed,,"Electronics, Manufacturing, Semiconductor",,,08/17/2001,"$5,000,000","$5,000,000",3,Series A,https://www.icmechanics.com,1
Homebytes,https://www.crunchbase.com/organization/homebytes,"Real Estate, Internet Services","Richmond, Virginia, United States","An Internet-based, licensed real estate firm",,01/01/1999,Closed,,"Commercial Real Estate, Internet, Real Estate",,,04/05/2000,"$12,000,000","$12,000,000",2,Series A,http://homebytes.com,1
quixi,https://www.crunchbase.com/organization/quixi,Sales and Marketing,"New York, New York, United States",QUIXI is a personal bandwidth company that offers services to increase the personal bandwidth levels of subscribers.,,01/01/1999,Closed,,"Business Development, Sales, Personalization",,,02/29/2000,"$27,500,000","$27,500,000",5,Series A,http://quixi.com/,1
Oddpodz,https://www.crunchbase.com/organization/oddpodz,Commerce and Shopping,"Tampa, Florida, United States",Oddpodz is an on line community and marketplace.,,01/01/2006,Closed,,"E-Commerce, Marketplace",,1-10,09/03/2006,"$500,000","$500,000",,Series A,http://www.oddpodz.com/,1
Starport Systems,https://www.crunchbase.com/organization/starport-systems,"Science and Engineering, Hardware, Consumer Electronics, Software","Irvine, California, United States","Starport Systems, a fabless semiconductor company, provides software solutions for the convergence of mobile RFID applications.",,01/01/2005,Closed,,"Electronics, Semiconductor, Software",,1-10,10/26/2005,"$1,000,000","$1,000,000",2,Series A,http://www.starportsys.com,1
SkyFish.Com,https://www.crunchbase.com/organization/skyfish-com,"Science and Engineering, Internet Services, Financial Services, Lending and Investments","New Haven, Connecticut, United States",An independent business-to-business trading hub and vertical portal for the global aerospace industry,,01/01/2011,Closed,,"Online Portals, B2B, Aerospace, Trading Platform",,11-50,05/03/2000,"$4,000,000","$4,000,000",1,Series A,http://www.skyfish.com/,1
Information Markets,https://www.crunchbase.com/organization/information-markets,"Commerce and Shopping, Financial Services, Lending and Investments","New York, New York, United States",Information Markets service provides instantaneous and anonymous one-to-one exchange of information in response to individual requests.,,01/01/1999,Closed,,"Financial Exchanges, Marketplace, Service Industry",,,05/18/2000,"$6,000,000","$6,000,000",3,Series A,http://www.infomarkets.com/,1
Campsix,https://www.crunchbase.com/organization/campsix-3,"Financial Services, Lending and Investments","San Francisco, California, United States",Campsix is a full service B2B Internet incubator.,,01/01/1999,Closed,,Incubators,,,02/29/2000,"$10,000,000","$10,000,000",8,Series A,http://www.campsix.com,1
CEYX,https://www.crunchbase.com/organization/ceyx,Software,"San Diego, California, United States",CEYX is a provider of software-enabled control systems for light-emitting devices.,,01/01/2001,Closed,,Software,,1-10,01/14/2005,"$4,500,000","$4,500,000",3,Series A,http://www.ceyx.com,1
iGrandparents.com,https://www.crunchbase.com/organization/igrandparents-com,"Community and Lifestyle, Health Care","Conshohocken, Pennsylvania, United States",IGrandparents is a blog that focuses on enriching the grandparent/grandchild relationship.,,,Closed,,"Child Care, Parenting, Children",,,07/25/2000,"$3,300,000","$3,300,000",2,Series A,http://www.igrandparents.com,1
Wholesaleportal,https://www.crunchbase.com/organization/wholesaleportal,"Software, Payments, Internet Services, Financial Services","Seattle, Washington, United States","It is the leading Internet-based B2B marketplace, transaction service, and information portal.",,01/01/1999,Closed,,"Transaction Processing, B2B, Internet",,,05/12/2000,"$4,400,000","$4,400,000",1,Series A,http://www.wholesaleportal.com,1
PLEJ,https://www.crunchbase.com/organization/plej,"Software, Payments, Financial Services","Chestnut Hill, Massachusetts, United States",PLEJ is a provider of payment and marketing software for affinity groups and retailers.,,01/01/2000,Closed,,"Payments, Software",,,10/21/2003,"$2,500,000","$2,500,000",3,Series A,,1
Infokall inc,https://www.crunchbase.com/organization/infokall-inc,Software,"Santa Ana, California, United States",Software consulting and public safety software,,01/01/2000,Closed,,Software,,11-50,06/30/2000,"$2,000,000","$2,000,000",,Series A,http://www.infokall.com,1
NBX,https://www.crunchbase.com/organization/nbx,"Media and Entertainment, Sports","Alameda, California, United States",NBX Sports is an an online sports entertainment company.,,09/01/2004,Closed,,"Media and Entertainment, Sports",,1-10,03/15/2006,"$3,000,000","$3,000,000",1,Series A,http://www.nbx.com/,1
NanoNexus,https://www.crunchbase.com/organization/nanonexus,"Hardware, Consumer Electronics","San Jose, California, United States","NanoNexus, Inc. provides contactor and interconnect products for the electronics industry.",,01/01/1999,Closed,,"Service Industry, Electronics",,,06/12/2006,"$32,000,000","$46,000,000",9,Series A,,2
Grenax Broadcasting,https://www.crunchbase.com/organization/grenax-broadcasting,"Media and Entertainment, Video","Mount Pleasant, Michigan, United States",Grenax Broadcasting owns and operates radio broadcasting stations.,,01/01/2002,Closed,,Broadcasting,,1-10,11/13/2003,"$3,100,000","$3,100,000",1,Series A,http://www.grenaxbroadcasting.com/,1
Klir Technologies,https://www.crunchbase.com/organization/klir-technologies,Software,"Seattle, Washington, United States",Klir Technologies provides information technology management solutions through a software-as-a-service business model.,,01/01/2000,Closed,1,Software,,11-50,06/03/2005,"$8,700,000","$8,700,000",2,Series A,http://www.klir.com,1
GigaLogix,https://www.crunchbase.com/organization/gigalogix,Sales and Marketing,"Oakland, California, United States",GigaLogix develops and commercializes extensible markup language (XML) routing and parsing technologies.,,01/01/2005,Closed,1,Public Relations,,1-10,02/01/2007,"$1,400,000","$1,400,000",2,Series A,http://gigalogix.com,1
N-Sided,https://www.crunchbase.com/organization/n-sided,Software,"San Francisco, California, United States","N-Sided is a French company that develops tools for creating, sculpting, and retouching 3D characters and graphics.",,01/01/2003,Closed,,Software,,11-50,06/19/2006,"$378,000","$378,000",1,Series A,http://www.n-sided.com,1
Tsola,https://www.crunchbase.com/organization/tsola,"Hardware, Mobile","Belmont, California, United States","Tsola, a new wireless Internet infrastructure software company.",,01/01/1999,Closed,,Wireless,,,07/25/2000,"$9,000,000","$9,000,000",5,Series A,http://www.tsola.com,1
Hidden Footprints,https://www.crunchbase.com/organization/hidden-footprints,Media and Entertainment,"Reston, Virginia, United States",Hidden Footprints is a developer of digital rights management technologies.,,01/01/2000,Closed,,Content,,1-10,06/28/2001,,,2,Series A,http://www.hiddenfootprints.com/,1
HandSignal,https://www.crunchbase.com/organization/handsignal,"Hardware, Software, Mobile","Prairie Village, Kansas, United States","HandSignal develops wireless middleware solutions for wireless solution providers, enterprises.",,01/01/2000,Closed,,"Wireless, Enterprise Software",,1-10,10/12/2001,"$1,350,000","$1,350,000",3,Series A,https://www.handsignal.com,1
SurePeak,https://www.crunchbase.com/organization/surepeak,Software,"Palo Alto, California, United States",wireless devices software,,01/01/2007,Closed,,Software,,1-10,01/01/2008,,,,Series A,http://www.surepeak.com,1
Ascentry Technologies,https://www.crunchbase.com/organization/ascentry-technologies,"Hardware, Software, Privacy and Security, Mobile","Tacoma, Washington, United States",Ascentry Technologies provides Homeland Security communications technology.,,01/01/2001,Closed,,"Homeland Security, Software, Wireless",,,12/02/2003,"$1,750,000","$1,750,000",,Series A,,1
eDesignerSource,https://www.crunchbase.com/organization/edesignersource,Commerce and Shopping,"Winston Salem, North Carolina, United States",eDesigner Source is a B2B e-commerce company that serves commercial interior designers.,,,Closed,,"B2B, E-Commerce",,,04/13/2000,"$1,500,000","$1,500,000",1,Series A,,1
TViFusion,https://www.crunchbase.com/organization/tvifusion,Media and Entertainment,"Denver, Colorado, United States",TViFusion is a new media company formed to provide outsourced services.,,03/01/2000,Closed,,Media and Entertainment,,,05/08/2001,"$10,000,000","$10,000,000",1,Series A,http://www.tvifusion.com,1
SynTera Communications,https://www.crunchbase.com/organization/syntera-communications,"Hardware, Information Technology, Privacy and Security","Alameda, California, United States",SynTera Communications development of turnkey silicon solutions for high-performance networking systems.,,01/01/2000,Closed,,"Optical Communication, Network Security",,,02/05/2001,"$6,000,000","$6,000,000",2,Series A,,1
Fusion Mobile,https://www.crunchbase.com/organization/fusion-mobile,Hardware,"Austin, Texas, United States",Fusion Mobile is a prepaid wireless company focused on the Hispanic population in the Southwestern U.S.,,,Closed,,Telecommunications,,,07/13/2006,"$100,000","$100,000",2,Series A,http://www.gofusionmobile.com/,1
Neuropure,https://www.crunchbase.com/organization/neuropure,"Biotechnology, Science and Engineering","Menlo Park, California, United States","Neuropure develops and commercializes novel, targeted, and logical treatment approaches for patients suffering from neurological disorders.",,01/01/2007,Closed,,Biotechnology,,1-10,03/20/2007,"$500,000","$500,000",1,Series A,http://www.neuropure.com,1
DemoGraFX,https://www.crunchbase.com/organization/demografx,Hardware,"Marina Del Rey, California, United States","DemoGraFX provides ""Visually Perfect"" compression algorithms yielding superior picture quality at competitive bit rates.",,01/01/2001,Closed,,Hardware,,,04/19/2001,"$10,000,000","$10,000,000",1,Series A,http://www.demografx.com,1
Destination-U,https://www.crunchbase.com/organization/desitnation-u,,"Shreveport, Louisiana, United States",Desitnation U,,01/01/2004,Closed,,,,,05/14/2004,,,1,Series A,,1
