,Company ID,Description,Company Name,HQ Post Code,Primary Industry Code,Primary Contact,Year Founded,Active Investors,HQ Location,Growth Rate,Size Multiple,Last Financing Date,Last Financing Size,Last Financing Deal Type 2 ,Majestic Referring Domains,Facebook Likes,Twitter Followers,Employees,Total Raised,VC_invested,Twitter_Username
343,60919-57,"Developer of an event management application designed to conveniently upload all necessary information to a user-friendly web dashboard within a few clicks. The company's event management application, Whova, is a Web-based application that enables event organizers to track and count attendees at events and measures event success by analyzing viewer engagement, enabling them to get their attendees involved in their events.",Whova,92130,Application Software,Weiwei Xiong,2012.0,"Amino Capital, IvyCap Ventures, National Science Foundation, Oriza Ventures","San Diego, CA",0.13418910540658352,3.0572010899203237,2016-05-20,1.75,Series A1,62.0,629.0,2843.0,20.0,4.35,1,xiongww
351,56511-37,"Provider of a mobile application designed to provide a platform where people share real thoughts and feelings. The company's mobile application is available in both iOS and android and it asks people to be open about their struggle of life, enabling users to post comments and visual content with the added expressive benefit of anonymity.",Whisper,90291,Application Software,Michael Heyward,2011.0,"Brian Lee, CAA Ventures, Chad Byers, Diego Berdakin, Ellis Capital, Individual Investor, Jason Calacanis, Joe Greenstein, John Hadl, Lightspeed Venture Partners, Matt Coffin, Michael Broukhim, Rani Aliahmad, Sequoia Capital, Shasta Ventures, Susa Ventures, Tencent Industry Win-Win Fund, Thrive Capital, Trinity Ventures, Venkatesh Harinarayan","Los Angeles, CA",-2.6942837491407743,1028.956224837323,,4.0,,223.0,3242919.0,25931.0,75.0,61.05,1,michaelheywire
357,103008-07,"Developer of a travel search engine designed to search travel destinations by price. The company offers a smarter travel search engine that analyzes a quarter million hotels and 5 million flights in over 150 destinations, in about 10 seconds and automatically selects the ideal flight and hotel for user's budget, enabling users to customize and find the cheapest flight and highest-rated hotel in their budget.",Wherefor,90025,Social/Platform Software,Ryan Wenger,2014.0,"500 Startups, Dyrdek Machine, Stage Venture Partners","Los Angeles, CA",-0.046672194590848565,3.238783551421724,2017-02-16,0.98,,135.0,1049.0,1523.0,8.0,1.47,1,RyanWenger3
369,56434-69,"Provider of a system for handling divorces through a combination of divorce professionals and online tools. The company covers six broad steps divorce planning, co-parent planning, a parenting agreement, financial mapping, financial agreements and divorce settlement.",Wevorce,94403,Legal Services (B2C),Michelle Crosby,2012.0,"500 Startups, Adam Sharp, Alliance of Angels, Andrew Crichton, Barbara Corcoran Venture Partners, Big Basin Partners, Bobby Goodlatte, Bobby Yazdani, Catherine Chang, Deciens Capital, Fenox Venture Capital, Foundation Capital, Geoff Ralston, Hydrazine Capital, Paul Buchheit, Pear Ventures, Saad AlSogair, Sam Altman, Service Provider Capital, Signatures Capital, Streamlined Ventures, Techstars, Ullas Naik, Wei Guo, Y Combinator","San Mateo, CA",5.953665277534355,18.428818609640274,2016-01-11,4.0,Series A,1000.0,6519.0,1700.0,21.0,6.61,1,peaceprovoker
381,119977-57,"Developer of a Web-based platform that specializes in online videos. The company offers an online platform that enables users to create and monetize content created out of videos derived from movie studios, news organizations, sports entities, music labels, publishers and documentaries.",WeMash,90291,"Movies, Music and Entertainment",Quincy Jones,2014.0,"Andreessen Horowitz, Manatt Venture Fund, The Valley Fund","Los Angeles, CA",0.03904764559691725,0.3081081081081081,,4.0,,8.0,322.0,807.5,11.0,0.42,1,EliTeplin
408,103193-02,"Producer of a social music sharing headphones. The company's headphones can broadcast music to other headphones, enabling users to listen to music with others in real time.",Wearhaus,94704,Electronics (B2C),Richie Zeng,2013.0,"China Southern Media, Feng Hu, Highway1, John Galbraith, Richard Kain, Tellus International, Xiaoxiang Capital","Berkeley, CA",0.9940676204983228,7.706259193713136,2017-04-27,4.03,Series A,139.0,14546.0,1824.0,9.0,4.7,1,ZengRichie
420,97340-68,"Provider of mobile application platform designed to deliver the last mile mobile layer for industrial internet of things. The company's mobile application platform manages the mobile application through a robust cloud backend, enabling administrators and backend operators to connect their industrial assets, products, enterprise data, processes, workflows to realize the true benefits of IOT with a mobile experience.",Waygum,94568,Application Software,Sundar Krish,2013.0,"Alchemist Accelerator, Cisco Systems, Munich Re/HSB Ventures, Navitas Capital, Right Side Capital Management, Tyco Ventures","Dublin, CA",0.10451175167473498,0.17628320762071684,2014-11-01,2.0,Series A,6.0,135.0,75.0,3.0,2.07,1,sundar_krish
424,156221-83,"Provider of a concierge service platform. The company offers a marketplace which allows users to find information on services such as food delivery, parking reservation and ticket booking and order them online.",Way.com,94085,Social/Platform Software,Bhumi Bhutani,2012.0,Agnus Capital,"Sunnyvale, CA",1.6684655991150104,5.826338761121369,2017-03-17,2.4,,424.0,25.0,1.0,18.0,3.4,1,itsBhumiBhutani
429,52242-22,"Operator of a venture capital firm focusing on seed and early stage financing. The company invests within communities with a focus on medical, clean technology and healthcare industry software.",Wavepoint Ventures,94025,Private Equity,Peter Gardner,2003.0,Vencore Capital,"Menlo Park, CA",0.0,0.512520995571843,,4.0,,35.0,867.0,28.0,5.0,6.6,1,pbgardner
431,55947-07,"Developer of wearable devices designed to modernize clinical research. The company's wearable device tracks exercise, sleeping, heart rate and other activities of the body and provides feedback on iOS and Android platforms, enabling users to track their health on daily basis.",Wavelet,94043,Other Healthcare Technology Systems,David Scott,2012.0,"Alpha Investment Partners, Flextronics Lab IX, Kickstart Seed Fund","Mountain View, CA",-0.11438265211683336,8.330508474576272,2014-02-28,1.75,,3.0,1834.0,2950.0,11.0,1.84,1,ScottDavidCast
