,Company ID,Description,Company Name,HQ Post Code,Primary Industry Code,Primary Contact,Year Founded,Active Investors,HQ Location,Growth Rate,Size Multiple,Last Financing Date,Last Financing Size,Last Financing Valuation,Last Financing Deal Type 2 ,Majestic Referring Domains,Facebook Likes,Twitter Followers,Employees,Total Raised,days_since_offer,vc_invest,Twitter_Username
679,92954-44,Developer of an application software for alerts and notification. The company develops an application software which helps users with alerts and notification for car parking and allows to see parking zones and the rules for parking zones.,TixAlert,92109,Application Software,Douglas Campbell,2012.0,Roberto Rende,"San Diego, CA",0.01932859943687514,2.3773269874780563,2014-08-02,0.01,,Angel,7.0,850.0,2856.0,7.0,0.1,1042,0,ProjectFresh
686,84779-47,"Developer of a mobile and web-based application to enable social discovery of applications, games, music and books. The company provides a platform which enables users to redeem unused gift cards, credit card points, and frequent flyer miles for digital goods such as games, music, books, movies, and TV shows. Its application, Bitcovery, enables its users to find movies, books and songs of their choices.",Tinyview,94085,"Movies, Music and Entertainment",Alex Wong,2013.0,"Bobby Yazdani, Individual Investor, Plug and Play Tech Center, Signatures Capital, Tandem Capital","Sunnyvale, CA",-0.024696679841080982,3.6958013598396797,2013-09-10,0.78,,Seed,9.0,9345.0,951.0,7.0,0.78,1368,0,wongify
711,152278-12,Developer of a baby feeding monitoring system. The company develops a feeder which captures and transmits feeding data to an application which shows feeding status and history.,Thrive Feeding,92130,Other Consumer Durables,Brian Wadsworth,2015.0,,"San Diego, CA",0.0,0.05405405405405406,2016-01-21,0.5,,Seed,2.0,816.0,425.5,7.0,0.95,505,0,wadsysr
721,155156-32,"Provider of an online platform for providing feedback. The company provides an online platform which allows users to receive cash payments for submitting feedback on products, services, issues and ideas.",ThoughtBase,94111,Social/Platform Software,Michael Hanna,2015.0,,"San Francisco, CA",0.0,0.06547035771427813,2016-03-07,0.02,,,3.0,77.0,1.0,7.0,0.02,459,0,actsofmichael
724,90909-28,"Provider of aircraft network provisions. The company provides 1Net, a modular multipurpose single aisle aircraft network for high frequency short haul airlines.",Thompson Aerospace,92618,Aerospace and Defense,Mark Thompson,2007.0,,"Irvine, CA",0.0,0.3783783783783784,2010-11-18,2.0,,Angel,14.0,816.0,425.5,14.0,2.0,2395,0,SuccessMatters
727,166160-98,Provider of an online market data dashboard for the fashion industry. The company's platform provides information about recent trends in the fashion market and thereby enables fashion designers to design clothes and jewelries.,Thirsty Thread,95008,Business/Productivity Software,Divya Kumar,2014.0,The Mill,"Campbell, CA",0.0,0.05466483432585128,2016-05-10,0.03,0.5,,3.0,816.0,10.0,7.0,0.03,395,0,divvashi
751,62424-91,"Operator of a multi platform network of an online video talk show. The company provides a network of online news shows covering politics, economics, pop culture, social trends and lifestyle.",The Young Turks,90048,"Broadcasting, Radio and Television",Cenk Uygur,2002.0,"Roemer, Robinson, Melville and Co","Los Angeles, CA",-0.05159092336057364,794.6693268091757,2015-11-30,3.25,,Angel,1647.0,1789188.0,304832.0,65.0,7.25,557,0,TYTGenocide
788,166267-54,"Owner and operator of a meditation center in the States. The company operates a destination center for well-being, which features meditation, yoga and Ayurveda, a holistic whole-body healing approach.",The Chopra Center,92009,Leisure Facilities,Deepak Chopra,1996.0,,"Carlsbad, CA",0.16339339313775025,209.29833363208456,2003-02-14,3.2,,Angel,9117.0,220343.0,24952.0,7.0,3.2,5229,0,stellakae
790,94226-59,Provider of consulting services in the areas of nuclear systems. The company provides professional consulting services for nuclear and space systems technology programs.,The Cameron Group,94539,Consulting Services (B2B),David Paul,2004.0,,"Fremont, CA",-0.009657993616458188,0.14886773287657593,2013-12-26,0.03,,Angel,3.0,35.0,137.0,7.0,0.04,1261,0,ThePaulButcher
800,170396-74,Provider of an application intended to save lives and injuries by paying user-submitted videos that catch texting and driving in the act. The company offers an application to assist law enforcement in ticketing those who violate distracted driving safety laws and develops an enforcement process for drivers who break minor traffic safety laws using crowdsourced video evidence enabling people save lives and reduce injuries.,Text To Ticket,94109,Application Software,Jesse Day,2016.0,500 Startups,"San Francisco, CA",0.6252496749586682,1.0720890961495235,2017-02-08,0.15,2.5,,42.0,149.0,679.0,7.0,0.15,121,0,DayPJesse
808,53661-34,Provider of online marketing services.,Terra Matrix,90404,Information Services (B2C),Arthur Wang,2007.0,Individual Investor,"Santa Monica, CA",0.0,0.2048682222595266,2010-01-11,1.57,,,13.0,47.0,425.5,7.0,1.57,2706,0,ArthurYWang
829,90009-91,Provider of internet protocol services. The company helps in delivering low-budget VoIP services to small and medium sized enterprises around the Bay Area.,Telnexus,94705,Wireless Service Providers,Vernon Keenan,2012.0,,"Berkeley, CA",0.057808091143531096,0.7939749466278574,2013-06-01,0.25,,Seed,27.0,81.0,573.0,11.0,0.25,1469,0,vkeenan
831,124231-33,Provider of a medical assistance service in Mexico. The company provides medical services as well as legal and roadside assistance for people traveling to Mexico.,TeleTravel,91364,Legal Services (B2C),David Eisenstadt,2013.0,,"Los Angeles, CA",-0.01389600249633422,0.6750440776601425,2015-09-17,0.05,2.05,Angel,21.0,1089.0,56.0,7.0,0.05,631,0,ReelDave
865,103244-77,Provider of a crowdsourced marketplace platform for consulting services. The company engages in connecting businesses with an on-demand IT workforce that includes engineers and consultants worldwide.,TaskIT (Consulting),95030,Social/Platform Software,James Maze,2012.0,"Alec Ratliff, Andrew Sakelson, Ben Dimmitt, Jacob Elziq, Justin McGovern, Kowsik Guruswamy, Martina Pavloff, Scott Chiang, Sharon Strong, Steve Zabkar, Tony Edwards","Los Gatos, CA",0.0,0.11383334329170733,2014-06-01,0.4,,Seed,3.0,70.0,73.0,9.0,0.4,1104,0,jamesmaze
875,113967-73,Developer of an e-commerce application for buying and selling unwanted items. The company develops an application that enables users to buy and sell used products using mobile devices.,TapNSell,94104,Application Software,Lupe Garcia,2014.0,"Founders Space, Keiretsu Forum","San Francisco, CA",0.0,0.07087988873176787,2016-02-01,1.32,,Angel,2.0,98.0,19.0,14.0,1.82,494,0,_Luupay_
877,99048-61,"Developer of a craft beer location application. The company develops a mobile application that enables consumers to locate their favorite beer, spiirits and cocktails in market across the United States.",TapHunter,92101,Application Software,Melani Gordon,2009.0,"Analytics Ventures, Doug Hecht, EvoNexus, Jeff Berg, La Costa Investment Group, Navid Alipour, Right Side Capital Management, Startup Leadership, Steve Hart","San Diego, CA",0.3275701242666623,24.45759636623675,2015-06-29,0.88,,,579.0,16369.0,16277.0,19.0,1.21,711,0,melgordon
887,94186-36,"Provider of a customer relationship management platform that connects producers and consumers in niche markets. The company incubate, design and build applications for professionals to engage customers in real time anywhere.",Tangled Web Communications,90001,Business/Productivity Software,Ankit Kapasi,2011.0,,"Los Angeles, CA",0.0,0.14567498333157877,2011-02-18,0.03,,Seed,25.0,89.0,63.0,7.0,0.03,2303,0,akventures
903,94184-56,Provider and developer of an online employment networking platform. The comapny provides a platform to create resume and helps individuals to connect with businesses thus providing individuals to get connected with work opportunities in their communities.,TalentEarth,95630,Human Capital Services,Robert Stock,2011.0,,"Folsom, CA",-0.010543184885290269,0.2716662920421211,2016-01-26,0.75,4.63,Seed,14.0,211.0,24.0,11.0,0.75,500,0,RobertStock6
906,56341-54,Provider of online job portal for school & college students. The company allows individuals and businesses to hire high school and college students for freelance work.,Talei,90048,Other Services (B2C Non-Financial),Michael Talei,2013.0,Individual Investor,"Los Angeles, CA",0.0,0.5945945945945946,2013-03-14,0.3,,Seed,22.0,816.0,425.5,7.0,0.3,1548,0,michaeltalei
