Place,County,Population,Population Density,Per_capita_income,median_household_income,median_family_income
Castroville,Monterey,"6,226","6,092.0","$14,156","$50,000","$52,069"
Cathedral City,Riverside,"52,550","2,444.2","$19,674","$43,128","$47,489"
Catheys Valley,Mariposa,878,37.5,"$32,190","$51,528","$57,813"
Cayucos,San Luis Obispo,"2,553",823.5,"$45,327","$57,863","$73,021"
Cazadero,Sonoma,312,43.8,"$25,780","$43,875","$42,969"
Cedar Ridge,Tuolumne,"1,132",145.3,"$33,038","$54,271","$73,750"
Cedar Slope,Tulare,0,0.0,[7,[7,[7
Cedarville,Modoc,297,54.6,"$22,492","$28,274","$29,048"
Centerville,Fresno,348,42.8,"$39,458","$85,833","$106,250"
Ceres,Stanislaus,"46,570","4,992.5","$18,575","$46,132","$48,964"
Cerritos,Los Angeles,"49,599","5,686.7","$35,460","$91,487","$100,919"
Chalfant,Mono,714,25.5,"$34,043","$66,361","$86,731"
Challenge-Brownsville,Yuba,952,98.1,"$19,383","$47,959","$36,771"
Channel Islands Beach,Ventura,"2,778","6,876.2","$53,956","$90,521","$110,461"
Charter Oak,Los Angeles,"9,200","9,913.8","$24,139","$61,946","$70,187"
Cherokee,Butte,80,45.7,"$23,230","$36,875","$85,156"
Cherokee Strip,Kern,295,"3,241.8","$9,350","$36,250","$28,026"
Cherryland,Alameda,"15,244","12,735.2","$20,378","$50,374","$50,537"
Cherry Valley,Riverside,"6,823",850.7,"$29,789","$58,080","$66,047"
Chester,Plumas,"1,978",271.4,"$21,631","$40,417","$48,409"
Chico,Butte,"87,517","2,658.3","$24,775","$42,334","$60,195"
Chilcoot-Vinton,Plumas,130,9.8,"$14,089",[7,[7
China Lake Acres,Kern,"1,376",264.1,"$22,054","$21,970","$37,422"
Chinese Camp,Tuolumne,99,110.2,"$27,201","$24,722","$103,125"
Chino,San Bernardino,"80,810","2,724.2","$23,116","$72,554","$78,328"
Chino Hills,San Bernardino,"76,187","1,705.0","$35,529","$97,609","$105,911"
Chowchilla,Madera,"18,411","1,653.1","$11,856","$36,852","$38,180"
Chualar,Monterey,"1,255","2,004.8","$15,542","$58,036","$57,679"
Chula Vista,San Diego,"253,031","5,098.2","$25,385","$66,110","$74,703"
Citrus,Los Angeles,"11,446","12,904.2","$17,422","$58,626","$61,119"
Citrus Heights,Sacramento,"84,678","5,951.1","$24,915","$51,150","$59,355"
Claremont,Los Angeles,"35,569","2,664.3","$39,402","$89,648","$108,739"
Clarksburg,Yolo,406,200.1,"$35,308","$49,783","$49,130"
Clay,Sacramento,"1,153",170.7,"$35,120","$76,184","$71,429"
Clayton,Contra Costa,"11,328","2,950.0","$54,740","$131,136","$141,623"
Clear Creek,Lassen,182,160.6,"$19,851","$33,021","$65,938"
Clearlake,Lake,"15,121","1,492.8","$16,301","$25,532","$30,772"
Clearlake Oaks,Lake,"1,547",782.1,"$20,844","$27,500","$38,750"
Clearlake Riviera,Lake,"2,912",557.4,"$23,831","$43,167","$45,842"
Cleone,Mendocino,679,426.2,"$31,822","$62,632","$59,853"
Clio,Plumas,49,85.1,"$29,645","$75,313",[7
Clipper Mills,Butte,0,0.0,[7,[7,[7
Cloverdale,Sonoma,"8,692","2,863.0","$28,677","$59,120","$67,746"
Clovis,Fresno,"98,815","4,210.8","$28,497","$63,662","$74,201"
Clyde,Contra Costa,680,"4,788.7","$27,403","$41,382","$93,750"
Coachella,Riverside,"42,576","1,470.7","$12,321","$40,423","$40,018"
Coalinga,Fresno,"17,235","2,581.6","$19,237","$50,373","$53,750"
Coarsegold,Madera,"1,172",106.7,"$26,734","$30,216","$66,346"
Cobb,Lake,"1,147",230.3,"$29,938","$71,641","$83,357"
Coffee Creek,Trinity,132,11.5,"$26,230","$58,889","$92,500"
Cohasset,Butte,808,31.9,"$21,582","$55,595","$58,520"
Cold Springs,El Dorado,623,825.2,"$23,860","$49,150","$81,458"
Cold Springs,Tuolumne,193,111.3,"$31,913","$34,963",[7
Coleville,Mono,395,28.7,"$36,201","$45,147","$46,397"
Colfax,Placer,"2,424","1,724.0","$24,810","$46,902","$48,269"
College City,Colusa,196,59.8,"$26,042","$97,727","$97,727"
Collierville,San Joaquin,"1,942",294.5,"$28,835","$51,595","$60,096"
Colma,San Mateo,"1,837",964.3,"$30,256","$88,438","$95,208"
Coloma,El Dorado,761,226.8,"$30,194","$65,426","$66,051"
Colton,San Bernardino,"53,129","3,467.0","$16,004","$39,915","$44,608"
Columbia,Tuolumne,"2,456",412.0,"$20,816","$40,313","$52,029"
Colusa,Colusa,"5,962","3,250.8","$22,606","$45,959","$50,515"
Commerce,Los Angeles,"12,975","1,984.6","$15,625","$45,846","$50,948"
Comptche,Mendocino,77,66.7,"$47,960","$83,750",[7
Compton,Los Angeles,"97,663","9,754.6","$13,847","$43,230","$45,877"
Concord,Contra Costa,"125,017","4,093.0","$31,404","$67,122","$78,218"
Concow,Butte,539,19.7,"$29,949","$34,773","$58,438"
Contra Costa Centre,Contra Costa,"6,031","9,482.7","$57,385","$87,721","$107,547"
Copperopolis,Calaveras,"4,365",210.0,"$31,166","$56,831","$71,477"
Corcoran,Kings,"23,634","3,149.5","$7,995","$34,082","$35,048"
Corning,Tehama,"7,617","2,145.6","$13,776","$36,906","$35,390"
Corona,Riverside,"157,395","4,052.8","$27,577","$77,021","$82,607"
Coronado,San Diego,"24,333","3,068.1","$48,476","$90,876","$112,608"
Coronita,Riverside,"3,397","4,951.9","$26,292","$78,304","$77,857"
Corralitos,Santa Cruz,"2,812",312.9,"$36,032","$84,466","$94,778"
Corte Madera,Marin,"9,478","2,996.5","$64,762","$113,279","$141,143"
Costa Mesa,Orange,"111,635","7,110.5","$33,342","$66,491","$76,781"
Cotati,Sonoma,"7,347","3,908.0","$32,834","$59,808","$75,461"
Coto de Caza,Orange,"14,647","1,897.0","$70,990","$166,328","$172,654"
Cottonwood,Shasta,"4,178","1,805.5","$17,268","$42,660","$44,450"
Coulterville,Mariposa,227,53.9,"$28,431","$45,000",[7
Country Club,San Joaquin,"10,018","5,225.9","$20,643","$43,323","$50,168"
Courtland,Sacramento,515,286.1,"$42,765","$58,472","$57,266"
Covelo,Mendocino,"1,444",203.5,"$17,585","$26,389","$23,553"
Covina,Los Angeles,"48,429","6,890.9","$25,622","$64,496","$73,113"
Cowan,Stanislaus,510,"3,269.2","$11,454","$37,656","$25,833"
Crescent City,Del Norte,"7,295","3,716.3","$12,430","$27,885","$43,554"
Crescent Mills,Plumas,426,100.4,"$15,014","$31,655","$32,230"
Cressey,Merced,322,183.2,"$22,093","$53,214","$53,214"
Crest,San Diego,"2,393",366.4,"$35,347","$74,115","$79,632"
Crestline,San Bernardino,"9,437",681.9,"$24,754","$47,175","$53,552"
Creston,San Luis Obispo,61,108.2,"$58,821","$83,523",[7
C-Road,Plumas,213,79.9,"$23,339","$78,796","$79,583"
Crockett,Contra Costa,"3,151","2,972.6","$42,310","$81,667","$89,588"
Cromberg,Plumas,172,19.0,"$48,815","$32,188","$163,030"
Crowley Lake,Mono,707,251.9,"$40,119","$88,500","$93,611"
Crows Landing,Stanislaus,194,61.2,"$13,302","$29,018","$31,563"
Cudahy,Los Angeles,"24,073","20,487.7","$11,400","$37,759","$36,289"
Culver City,Los Angeles,"39,353","7,699.7","$45,792","$79,292","$99,860"
Cupertino,Santa Clara,"59,787","5,285.7","$55,867","$134,872","$158,053"
